host_institution,program_name,in_person,email,priority_deadline,regular_deadline,apply_link,target_applicants,session_1,session_2,session_3,num_essays,num_LORs,other_notes,hosting_situation,program_status
Amherst College,A2A,,admission@amherst.edu,,"August 12, 2024",https://www.amherst.edu/admission/diversity/a2a,"FGLI, minorities",9/28-9/30,,,1,0,Recommended to submit an academic writing sample,,TRUE
Amherst College,EONS,,admission@amherst.edu,,"August 14, 2024",https://www.amherst.edu/admission/diversity/EONS,Indigenous students,9/27,,,1,0,Recommended to submit an academic writing sample,,TRUE
Babson College,Access Babson,,ugradadmission@babson.edu,,"August 4, 2024",https://www.babson.edu/undergraduate/admission/visit-and-engage/access-babson/,"FGLI, minorities",10/06 - 10/07,,,2,0,,,TRUE
Barnard College,Barnard Bound,,admissions@barnard.edu,,"September 18, 2023",https://barnard.edu/admissions/commitment-to-access,"FGLI, minorities, women(!)",9/1-10/31,,,1,0,"Virutal, for Females",,TRUE
Bates College,Prologue to Bates,,admission@bates.edu,,"April 1, 2025",https://www.bates.edu/admission/prologue/,"FGLI, minorities",,,,1,0,*Optional,,TRUE
Bowdoin College,Explore Bowdoin,,admissions@bowdoin.edu,,"August 14, 2023",https://www.bowdoin.edu/admissions/visit/explore-bowdoin/index.html,"FGLI, minorities",09/19 - 09/21,10/24 - 10/26,,1,0,,,TRUE
Brandeis University,SEED,,admissions@brandeis.edu,,"September 8, 2023",https://www.brandeis.edu/admissions/seed/,"FGLI, minorities",10/20 - 10/21,,,2,0,,,TRUE
Bryn Mawr College,Lantern Scholars,,admissions@brynmawr.edu,,"July 15, 2024",https://www.brynmawr.edu/admissions-aid/visit-bryn-mawr/fly-programs,"FGLI, minorities, women(!)",10/5 - 10/7,,,1,0,,,TRUE
Bucknell University,Journey to Bucknell,,admissions@bucknell.edu,,"October 4, 2023",https://www.bucknell.edu/meet-bucknell/plan-visit/camps-conferences-visit-programs/journey-bucknell,"FGLI, minorities",10/3 - 10/5,10/24 - 10/16,,3,0,"Must live in or near these regions: Baltimore, MD; Philadelphia, PA; New York, NY; and Washington, D.C. Journey to Bucknell participants are required to be accompanied by a parent or guardian.","Hotel, requires chaperone",TRUE
California Institute of Tech,CalTech Up Close,,ugadmissions@caltech.edu,,"August 6, 2023",https://www.admissions.caltech.edu/visit/visit-campus/fall-fly-in-program-caltech-up-close,"FGLI, minorities, STEM",10/12-10/15,,,2,0,Decisions will be released in September,,TRUE
California Institute of Tech,Summer Preview: Women in STEM,,ugadmissions@caltech.edu,,"June 20, 2023",https://www.admissions.caltech.edu/visit/visit-campus/summer-preview-women-stem,"women/non-binary, juniors, seniors, STEM",08/02 - 08/04,,,,,No Amounts paid for Students,,TRUE
Carleton College,TOC,,admissions@carleton.edu,,"July 21, 2023",https://www.carleton.edu/admissions/visit/toc/,"FGLI, minorities",10/08 - 10/10,,,3,0,May submit an optional resume.,,TRUE
Carnegie Mellon University,Celebration of Diversity,,admission@andrew.cmu.edu,,,https://www.cmu.edu/admission/visit/online-visit/celebration-of-diversity-series,"FGLI, minorities",,,,0,0,Register for different events happening on different days.,,FALSE
Case Western Reserve University,Diversity Overnight,,admission@case.edu,,"October 2, 2023",https://case.edu/admission/diversity-overnight,"FGLI, minorities",11/12 - 11/13,,,2,0,Must fill out other forms.,,TRUE
Claremont McKenna College,Fall Preview,,admission@cmc.edu,,"August 21, 2023","https://www.cmc.edu/admission/visit/diversityflyin#:~:text=During%20the%20Fall%2C%20Claremont%20McKenna,demonstrate%20strong%20academic%20excellence%20and","FGLI, minorities",10/08 - 10/10,,,,,,,TRUE
Colgate University,Colgate in Focus,,admission@colgate.edu,,"August 1, 2023",https://www.colgate.edu/admission-aid/visit/colgate-focus,"FGLI, minorities",10/01 - 10/02,,,,,Priority consideration will be given to those who have attended or viewed the summer webinar series.,,FALSE
